59 | Alnus acuminata | Aliso andino | Exótico | Arbóreo |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
60 | Alnus glutinosa | Aliso común | Exótico | Arbóreo |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
61 | Alnus sp. | Aliso | Exótico | Arbóreo |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
62 | Aloe arborescens | Aloe | Exótico | Suculenta |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
63 | Aloea vera | Aloe vera | Exótico | Suculenta |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
64 | Aloysia citrodora / Aloysia triphylla | Cedrón / Hierba Luisa | Exótico | Arbustivo |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
65 | Althaea rosea | Malva | Exótico | Herbáceo |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
66 | Ambrosia chamissonis | Ambrosia | Nativo | Herbáceo |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
67 | Ammophila arenaria | Barrón | Exótico | Herbáceo |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
68 | Amomyrtus luma | Luma | Nativo | Arbóreo |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
69 | Amomyrtus meli | Meli | Nativo | Arbóreo |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
70 | Anisomeria coriacea | Pirco | Nativo | Arbustivo |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
71 | Anisomeria littoralis | Pircún | Nativo | Arbustivo |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
72 | Apium graveolens | Apio | Exótico | Herbáceo |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
73 | Aptenia cordifolia | Rocío / Escarcha | Exótico | Suculenta |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
